n_nodes,wire_resistance,trace_resistance,min_t_diff,cylinder_length,n_wires
2,74000.0,74000.0,5.125491204726998e-06,6,one
3,192000.0,96000.0,5.008216604422529e-06,7,one
4,330000.0,110000.0,5.002002165596672e-06,9,one
5,480000.0,120000.0,5.019293901866881e-06,9,one
6,640000.0,128000.0,5.055066822196131e-06,9,one
7,804000.0,134000.0,5.071077473426721e-06,10,one
8,966000.0,138000.0,5.0511774012213065e-06,10,one
9,1136000.0,142000.0,5.057056213043703e-06,10,one
10,1296000.0,144000.0,5.012405529280904e-06,11,one
11,1480000.0,148000.0,5.047509836666043e-06,11,one
12,1650000.0,150000.0,5.025882128071937e-06,11,one
13,1824000.0,152000.0,5.0117368645224666e-06,11,one
14,2002000.0,154000.0,5.0030537447397845e-06,11,one
15,2212000.0,158000.0,5.058077521317387e-06,12,one
16,2400000.0,160000.0,5.055075369235902e-06,12,one
17,2592000.0,162000.0,5.054187861124629e-06,12,one
18,2788000.0,164000.0,5.054759298065391e-06,12,one
19,2952000.0,164000.0,5.0012778658145335e-06,12,one
20,3154000.0,166000.0,5.004437935549717e-06,12,one
21,3360000.0,168000.0,5.00776732008959e-06,12,one
22,3570000.0,170000.0,5.0109851007730435e-06,13,one
23,3784000.0,172000.0,5.0138545665061015e-06,13,one
24,4002000.0,174000.0,5.016173647311639e-06,13,one
25,4224000.0,176000.0,5.01776770586742e-06,13,one
26,4450000.0,178000.0,5.018484034858227e-06,13,one
27,4680000.0,180000.0,5.018187606268165e-06,13,one
28,4914000.0,182000.0,5.016757751690761e-06,13,one
29,5152000.0,184000.0,5.014085543402511e-06,13,one
30,5394000.0,186000.0,5.01007170879619e-06,13,one
2,,34657.35902799726,,5,two
3,,34657.35902799726,,5,two
4,,34657.35902799726,,5,two
5,,34657.35902799726,,5,two
6,,34657.35902799726,,5,two
7,,34657.35902799726,,5,two
8,,34657.35902799726,,5,two
9,,34657.35902799726,,5,two
10,,34657.35902799726,,5,two
11,,34657.35902799726,,5,two
12,,34657.35902799726,,5,two
13,,34657.35902799726,,5,two
14,,34657.35902799726,,5,two
15,,34657.35902799726,,5,two
16,,34657.35902799726,,5,two
17,,34657.35902799726,,5,two
18,,34657.35902799726,,5,two
19,,34657.35902799726,,5,two
20,,34657.35902799726,,5,two
21,,34657.35902799726,,5,two
22,,34657.35902799726,,5,two
23,,34657.35902799726,,5,two
24,,34657.35902799726,,5,two
25,,34657.35902799726,,5,two
26,,34657.35902799726,,5,two
27,,34657.35902799726,,5,two
28,,34657.35902799726,,5,two
29,,34657.35902799726,,5,two
30,,34657.35902799726,,5,two
