n_nodes,wire_resistance,trace_resistance,min_t_diff,cylinder_length,n_wires
2,74000,74000,5.125491204726998e-06,18,one
3,192000,96000,5.008216604422527e-06,23,one
4,330000,110000,5.002002165596672e-06,26,one
5,480000,120000,5.0192939018668876e-06,28,one
6,640000,128000,5.055066822196131e-06,30,one
7,804000,134000,5.0710774734267415e-06,31,one
8,966000,138000,5.051177401221293e-06,33,one
9,1136000,142000,5.057056213043703e-06,33,one
10,1296000,144000,5.01240552928089e-06,34,one
11,1480000,148000,5.047509836666043e-06,35,one
12,1650000,150000,5.025882128071937e-06,35,one
13,1824000,152000,5.0117368645224395e-06,35,one
14,2002000,154000,5.0030537447397845e-06,36,one
15,2212000,158000,5.058077521317387e-06,37,one
16,2400000,160000,5.055075369235902e-06,37,one
17,2592000,162000,5.054187861124629e-06,38,one
18,2788000,164000,5.054759298065391e-06,38,one
19,2952000,164000,5.0012778658145335e-06,38,one
20,3154000,166000,5.00443793554969e-06,38,one
21,3360000,168000,5.0077673200895625e-06,39,one
22,3570000,170000,5.0109851007730435e-06,40,one
23,3784000,172000,5.0138545665061015e-06,40,one
24,4002000,174000,5.016173647311639e-06,41,one
25,4224000,176000,5.01776770586742e-06,41,one
26,4450000,178000,5.018484034858227e-06,41,one
27,4680000,180000,5.018187606268165e-06,42,one
28,4914000,182000,5.016757751690707e-06,42,one
29,5152000,184000,5.0140855434024564e-06,43,one
30,5394000,186000,5.01007170879619e-06,43,one
2,34657.35903,34657.35903,5,9,two
3,34657.35903,34657.35903,5,9,two
4,34657.35903,34657.35903,5,9,two
5,34657.35903,34657.35903,5,9,two
6,34657.35903,34657.35903,5,9,two
7,34657.35903,34657.35903,5,9,two
8,34657.35903,34657.35903,5,9,two
9,34657.35903,34657.35903,5,9,two
10,34657.35903,34657.35903,5,9,two
11,34657.35903,34657.35903,5,9,two
12,34657.35903,34657.35903,5,9,two
13,34657.35903,34657.35903,5,9,two
14,34657.35903,34657.35903,5,9,two
15,34657.35903,34657.35903,5,9,two
16,34657.35903,34657.35903,5,9,two
17,34657.35903,34657.35903,5,9,two
18,34657.35903,34657.35903,5,9,two
19,34657.35903,34657.35903,5,9,two
20,34657.35903,34657.35903,5,9,two
21,34657.35903,34657.35903,5,9,two
22,34657.35903,34657.35903,5,9,two
23,34657.35903,34657.35903,5,9,two
24,34657.35903,34657.35903,5,9,two
25,34657.35903,34657.35903,5,9,two
26,34657.35903,34657.35903,5,9,two
27,34657.35903,34657.35903,5,9,two
28,34657.35903,34657.35903,5,9,two
29,34657.35903,34657.35903,5,9,two
30,34657.35903,34657.35903,5,9,two
