model,connection,trial,x,y,z,volume,n_cells,n_points,n_voxels,n_vertices,preprocess,r_optim,voxelization,voxel_clip,graph_repr,path_finding,node_object_prep,link_object_prep,r_trace_prep,postprocess
bunny,single,0,115.1202392578125,89.19262313842773,111.71478271484375,302390.87748571363,259898,129951,444696,335504,0.1196749210357666,2.765481948852539,61.017317056655884,0.079387188,5.014736175537109,53.46453309059143,22.101179122924805,1.627784252166748,11.801743745803833,0.075119019
hilbert,single,0,81.83244323730469,81.83242797851562,81.83242797851562,173666.65609356566,39936,19968,285897,56007,0.019008159637451172,2.562992811203003,12.281555891036987,0.02381587,0.5772500038146973,1.062542200088501,46.268221855163574,3.3949661254882812,50.70095491409302,0.24678707122802734
keypad_4,single,0,65.99999952316284,66.99999809265137,18.600000023841858,78284.09954,2116,1068,50176,18234,0.007125854,2.2160329818725586,0.681286097,0.003431082,0.14431095123291016,3.3102269172668457,2.2727060317993164,1.1842639446258545,5.8174238204956055,0.056068897
keypad_9,single,0,115.99500274658203,116.9900016784668,18.60000079870224,241964.0425764021,7336,3688,155232,65784,0.006485224,2.311368227005005,2.390726089477539,0.012469291687011719,0.5513219833374023,7.218490839004517,11.746355056762695,2.866832971572876,14.664000988006592,0.1414499282836914
keypad_16,single,0,166.99999523162842,166.00000381469727,17.999998569488525,458519.21943311015,10316,5192,320211,124920,0.008280039,2.6386098861694336,4.710281133651733,0.023257732391357422,1.0150609016418457,19.36416792869568,39.19099712371826,5.841964006,148.8064649105072,0.3890089988708496
land,single,0,94.18013000488281,87.53812408447266,88.40121618852345,317412.3695415129,29472,14738,325651,249004,0.019541025161743164,2.4238100051879883,18.527718782424927,0.047711134,2.4505248069763184,23.40893816947937,16.09465003013611,2.0642809867858887,8.927177906036377,0.10876798629760742
lion,single,0,97.75360107421875,94.20603942871094,119.72190856933594,613578.0471969304,69994,34999,384828,266067,0.17460107803344727,2.2270748615264893,22.603361129760742,0.044862985610961914,2.480393886566162,133.62672686576843,16.411582946777344,2.058588981628418,22.775564908981323,0.099214077
power,single,0,111.31022644042969,124.14916253089905,30.07499885559082,132101.65412710374,2256,1130,295056,105340,0.1388838291168213,2.3745810985565186,6.241614103317261,0.027912855,1.001507043838501,155.52195692062378,13.923372983932495,1.5924038887023926,58.183643102645874,0.073517084
bunny,single,1,115.1202392578125,89.19262313842773,111.71478271484375,302390.87748571363,259898,129951,444696,335504,0.11835598945617676,2.094709873199463,60.39272975921631,0.06024909,3.1002469062805176,52.894683837890625,22.470721006393433,1.654033899307251,11.53510308265686,0.076800108
hilbert,single,1,81.83244323730469,81.83242797851562,81.83242797851562,173666.65609356566,39936,19968,285897,56007,0.020088196,2.5278217792510986,12.053098917007446,0.027351141,0.5552840232849121,1.0781259536743164,46.0496769,3.4422779083251953,51.95670724,0.2428607940673828
keypad_4,single,1,65.99999952316284,66.99999809265137,18.600000023841858,78284.09954,2116,1068,50176,18234,0.004738092,2.279724121,0.6882531642913818,0.00438118,0.15924406051635742,2.996716022491455,2.257351875305176,1.1945700645446777,6.082573175430298,0.061183929443359375
keypad_9,single,1,115.99500274658203,116.9900016784668,18.60000079870224,241964.0425764021,7336,3688,155232,65784,0.006361008,2.4351770877838135,2.3929061889648438,0.011314868927001953,0.5225460529327393,7.153331995010376,11.72989010810852,2.817584276199341,14.963093996047974,0.14331984519958496
keypad_16,single,1,166.99999523162842,166.00000381469727,17.999998569488525,458519.21943311015,10316,5192,320211,124920,0.006542921,2.654999017715454,4.7642998695373535,0.021867990493774414,1.0045750141143799,19.404600143432617,39.721248149871826,5.843360900878906,148.3164930343628,0.3741891384124756
land,single,1,94.18013000488281,87.53812408447266,88.40121618852345,317412.3695415129,29472,14738,325651,249004,0.012374878,2.497986078262329,18.633705854415894,0.048001051,2.381938934326172,23.169936895370483,15.97917103767395,2.028265953063965,9.003796815872192,0.1077120304107666
lion,single,1,97.75360107421875,94.20603942871094,119.72190856933594,613578.0471969304,69994,34999,384815,266067,0.1476290225982666,2.472254991531372,22.64199995994568,0.049422741,2.5562350749969482,132.34168219566345,16.457746028900146,2.10703969,22.86428713798523,0.096626997
power,single,1,111.31022644042969,124.14916253089905,30.07499885559082,132101.65412710374,2256,1130,295056,105340,0.14268231391906738,2.3879077434539795,6.156062364578247,0.031819105,0.9777932167053223,155.60372519493103,13.921962976455688,1.5956709384918213,57.56654906272888,0.064182043
bunny,single,2,115.1202392578125,89.19262313842773,111.71478271484375,302390.87748571363,259898,129951,444696,335504,0.10858988761901855,2.2120869159698486,59.743099212646484,0.06220293,3.0701000690460205,52.53979492,21.98219394683838,1.6491420269012451,11.779381036758423,0.076218128
hilbert,single,2,81.83244323730469,81.83242797851562,81.83242797851562,173666.65609356566,39936,19968,285897,56007,0.017221927642822266,2.5733659267425537,12.196923971176147,0.021104812622070312,0.5344409942626953,1.061607837677002,46.08025813102722,3.6120450496673584,50.062341928482056,0.2463679313659668
keypad_4,single,2,65.99999952316284,66.99999809265137,18.600000023841858,78284.09954,2116,1068,50176,18234,0.002555847,2.2577149868011475,0.6783320903778076,0.006028652,0.15413999557495117,3.188155174255371,2.2553439140319824,1.1892449855804443,5.884155988693237,0.057333946228027344
